79.18,27.2,21.89,86.31,8.22,35.22
78.99,27.2,21.12,87.41,8.29,35.2325
78.79,27.0,24.66,85.28,8.37,35.245
78.29,27.0,29.15,67.07,8.44,35.24
77.51,27.0,31.64,54.53,8.51,35.155
76.60,27.0,36.37,44.91,8.58,35.0675
76.10,27.0,37.91,38.09,8.66,35.0225
84.19,27.0,31.53,57.17,8.73,35.01
84.50,27.0,31.9,57.38,8.80,35.0175
83.55,27.0,28.09,65.68,8.87,35.0675
81.06,27.2,25.89,72.38,8.95,35.12
80.34,27.2,25.5,75.58,9.00,35.16
79.91,27.2,24.27,82.92,9.08,35.195
79.59,27.2,23.9,86.36,9.15,35.2275
79.37,27.2,23.43,87.84,9.22,35.2475
79.20,27.2,23.24,88.87,9.29,35.2675
79.02,27.2,25.0,88.67,9.37,35.295
78.69,27.2,28.67,73.13,9.44,35.305
77.97,27.0,32.19,59.62,9.51,35.205
77.12,27.0,34.0,53.57,9.58,35.115
76.36,27.0,34.69,50.86,9.65,35.055
84.58,27.0,32.03,57.11,9.73,35.04
84.83,27.2,28.82,65.57,9.80,35.04
83.87,27.2,26.84,72.65,9.87,35.0925
81.14,27.2,26.19,74.32,9.94,35.1525
80.46,27.2,26.24,75.23,10.00,35.185
80.00,27.2,25.54,76.55,10.07,35.2175
79.69,27.2,24.16,80.67,10.15,35.2425
79.46,27.2,23.25,85.04,10.22,35.265
79.29,27.2,22.49,87.83,10.29,35.2825
79.12,27.2,25.27,88.61,10.36,35.305
78.68,27.2,29.16,71.39,10.44,35.3
78.08,27.2,30.3,65.37,10.51,35.24
77.18,27.2,34.23,55.79,10.58,35.1325
76.40,27.2,33.92,52.09,10.65,35.065
82.76,27.2,32.11,54.86,10.73,35.05
84.47,27.2,29.11,53.12,10.80,35.05
84.17,27.2,26.44,67.02,10.87,35.08
81.10,27.2,24.67,72.74,10.94,35.1425
80.09,27.2,22.62,76.76,11.00,35.1775
79.58,27.2,22.0,82.79,11.07,35.2175
79.26,27.2,21.3,84.75,11.15,35.245
79.02,27.2,20.98,87.17,11.23,35.275
78.84,27.2,21.27,89.27,11.30,35.3
78.66,27.2,24.39,89.38,11.37,35.3725
78.22,27.0,28.2,72.57,11.44,35.345
77.45,27.0,32.88,57.22,11.52,35.235
76.57,27.0,35.15,51.99,11.59,35.1475
75.78,27.0,34.53,44.07,11.66,35.0875
75.12,27.0,32.24,49.24,11.73,35.07
74.69,27.0,29.26,55.34,11.81,35.07
74.56,27.0,26.32,71.88,11.88,35.115
74.52,27.0,25.04,75.87,11.95,35.1775
74.48,27.0,24.5,78.7,12.00,35.2125
74.44,27.0,24.42,80.2,12.07,35.25
74.38,27.0,23.14,80.73,12.15,35.2725
74.34,27.0,22.45,85.4,12.22,35.2975
74.28,27.0,22.15,87.84,12.29,35.32
74.20,27.0,24.75,90.21,12.36,35.3475
73.76,27.0,29.31,70.92,12.44,35.3375
72.96,27.0,33.32,58.06,12.51,35.2275
72.16,27.0,35.69,46.78,12.58,35.135
71.49,27.0,38.61,33.16,12.65,35.0825
76.10,27.0,37.33,39.15,12.73,35.0675
84.16,27.0,32.79,46.09,12.80,35.0675
83.10,27.2,29.49,64.1,12.87,35.1025
80.05,27.2,26.85,72.49,12.94,35.1725
79.35,27.2,25.12,75.84,13.00,35.215
78.96,27.2,23.37,79.98,13.07,35.255
78.69,27.2,22.75,84.42,13.15,35.29
78.47,27.2,21.97,86.23,13.22,35.315
78.30,27.2,21.89,88.38,13.29,35.34
78.14,27.2,24.49,90.5,13.36,35.3675
77.74,27.2,28.75,76.33,13.44,35.37
76.96,27.2,33.07,59.29,13.51,35.2975
76.07,27.0,33.27,56.01,13.58,35.2025
75.27,27.0,34.32,52.69,13.65,35.15
80.67,27.0,28.56,64.68,13.73,35.1275
83.74,27.2,28.74,65.86,13.80,35.1275
82.89,27.2,26.5,70.46,13.87,35.1825
80.19,27.2,24.78,74.43,13.94,35.2325
79.38,27.2,23.57,77.45,14.00,35.2625
78.93,27.2,22.88,84.01,14.07,35.305
78.63,27.2,22.25,86.97,14.15,35.335
78.43,27.2,22.35,89.2,14.22,35.36
78.26,27.2,21.68,89.68,14.29,35.3775
78.08,27.2,24.47,91.99,14.36,35.4075
77.79,27.2,28.25,79.15,14.43,35.415
77.19,27.0,28.26,74.42,14.51,35.3825
76.45,27.0,31.34,65.78,14.58,35.305
75.67,27.0,30.18,64.92,14.65,35.2275
83.52,27.0,28.95,68.24,14.72,35.205
83.51,27.0,27.59,71.7,14.80,35.205
82.76,27.2,26.25,73.76,14.87,35.2425
80.02,27.2,25.2,75.77,14.94,35.29
79.23,27.2,25.0,76.39,15.00,35.3175
78.79,27.2,24.62,78.06,15.07,35.35
78.50,27.2,23.53,82.61,15.14,35.3725
78.28,27.2,22.17,85.63,15.22,35.39
78.12,27.2,21.31,88.13,15.29,35.405
77.97,27.2,24.42,91.06,15.36,35.4325
77.56,27.0,27.79,75.29,15.43,35.4325
76.78,27.0,31.71,56.15,15.51,35.3325
75.87,27.0,32.63,51.5,15.58,35.2275
75.38,27.0,24.36,72.73,15.65,35.215
83.18,27.0,22.55,77.36,15.72,35.2625
83.16,27.0,21.38,84.8,15.80,35.33
82.29,27.0,21.26,85.09,15.87,35.3675
79.70,26.6,20.88,89.73,15.94,35.3975
78.94,26.6,20.94,90.9,16.00,35.4175
78.51,26.6,20.34,91.57,16.07,35.435
78.23,26.6,20.65,92.44,16.14,35.4525
78.05,26.6,20.65,93.08,16.22,35.47
77.88,26.4,20.51,93.25,16.29,35.48
77.72,26.4,21.47,93.25,16.36,35.4875
77.45,26.4,23.38,89.28,16.43,35.4875
77.10,26.2,25.49,76.36,16.51,35.4825
76.44,26.2,29.69,63.12,16.58,35.4
75.66,26.2,29.35,64.48,16.65,35.295
82.76,26.2,27.41,71.39,16.72,35.3025
82.84,26.2,26.16,68.45,16.80,35.3025
82.31,26.2,24.1,75.13,16.87,35.315
79.69,26.2,22.91,77.22,16.94,35.3525
78.86,26.2,22.26,80.22,17.00,35.38
78.39,26.2,20.76,86.7,17.07,35.405
78.10,26.2,19.62,88.84,17.14,35.425
77.89,26.2,18.85,89.53,17.22,35.44
77.71,26.2,18.63,90.84,17.29,35.4575
77.54,26.2,21.8,93.9,17.36,35.4825
77.17,26.2,25.84,78.51,17.43,35.4825
76.67,26.0,25.97,73.29,17.51,35.4475
76.04,26.0,28.81,62.16,17.58,35.3725
75.33,26.0,30.96,55.47,17.65,35.3
82.32,26.0,28.51,62.78,17.72,35.2675
82.49,26.0,25.63,68.4,17.79,35.2675
82.04,26.0,24.57,70.81,17.87,35.2975
79.44,26.0,22.67,76.54,17.94,35.36
78.59,26.2,21.66,79.94,18.01,35.385
78.17,26.2,20.94,81.79,18.08,35.4175
77.89,26.2,20.62,85.37,18.16,35.4425
77.69,26.0,20.6,85.96,18.23,35.465
77.56,26.0,20.73,88.71,18.30,35.4875
77.40,26.0,22.5,86.37,18.37,35.5
77.09,26.0,24.66,80.5,18.45,35.5
76.59,26.0,27.76,70.51,18.52,35.4675
75.92,25.6,30.48,58.63,18.59,35.38
75.28,25.6,30.43,56.55,18.66,35.3125
81.90,25.6,29.19,57.77,18.74,35.2975
81.83,25.6,26.55,64.32,18.81,35.2975
81.04,26.0,24.19,70.71,18.88,35.3225
78.93,26.0,21.24,77.19,18.95,35.37
78.42,26.0,20.01,81.08,19.00,35.395
77.97,26.0,19.28,86.01,19.08,35.43
77.69,26.0,18.51,87.33,19.16,35.4525
77.50,26.0,17.83,88.35,19.23,35.4725
77.33,26.0,18.0,88.66,19.30,35.4925
77.15,25.6,21.09,87.58,19.37,35.5075
76.68,25.6,27.29,64.57,19.45,35.505
75.99,25.6,32.31,44.11,19.52,35.425
75.30,25.4,34.56,36.29,19.59,35.3475
74.73,25.4,33.78,36.93,19.66,35.2975
82.11,25.4,31.36,41.3,19.74,35.28
82.24,25.4,28.1,47.8,19.81,35.2825
81.23,25.6,24.49,57.59,19.88,35.305
78.92,25.6,20.75,72.9,19.95,35.35
78.37,25.6,19.51,75.34,20.00,35.3775
77.95,25.6,18.38,77.0,20.08,35.41
77.65,25.6,18.24,77.38,20.15,35.435
77.43,25.6,18.06,75.97,20.22,35.4525
77.25,25.6,16.82,77.28,20.29,35.4675
77.01,25.4,20.71,78.45,20.37,35.4825
76.47,25.4,28.0,57.12,20.45,35.48
75.81,25.2,33.12,39.81,20.52,35.4125
75.12,25.2,35.66,33.32,20.59,35.3425
74.57,25.2,35.52,31.78,20.66,35.2975
81.70,25.2,32.65,33.94,20.74,35.2775
82.06,25.2,29.15,40.0,20.81,35.2775
81.06,25.4,25.3,48.14,20.88,35.3
78.87,25.4,20.85,64.81,20.95,35.3425
78.35,25.4,19.42,68.4,21.00,35.3675
77.84,25.4,18.32,71.79,21.09,35.405
77.49,25.4,17.68,73.01,21.18,35.4375
77.21,25.4,16.88,74.22,21.28,35.46
76.90,25.2,21.93,74.02,21.38,35.48
76.30,25.2,29.42,50.26,21.46,35.475
75.61,25.2,33.42,40.81,21.53,35.4025
74.93,25.0,35.64,35.76,21.60,35.3425
75.97,25.0,34.34,37.06,21.67,35.3025
81.94,25.0,31.13,45.14,21.75,35.295
82.10,25.2,27.91,54.72,21.83,35.295
80.56,25.2,23.9,69.31,21.91,35.3575
78.45,25.4,21.51,76.68,22.00,35.4175
77.91,25.4,20.38,80.8,22.10,35.47
77.55,25.4,18.92,82.75,22.21,35.5025
77.31,25.4,18.77,83.26,22.31,35.53
76.80,25.2,26.0,67.43,22.42,35.5375
76.13,25.2,32.15,47.76,22.50,35.4725
75.43,25.2,35.7,35.95,22.57,35.39
74.75,25.2,36.87,33.96,22.65,35.3375
81.29,25.2,27.48,58.81,22.72,35.315
81.59,25.2,25.69,80.08,22.79,35.4025
80.73,25.4,23.44,81.93,22.89,35.4775
78.40,25.4,22.47,67.98,23.00,35.4925
78.31,25.4,22.89,67.59,23.01,35.4925
77.71,25.4,19.75,75.59,23.11,35.505
77.29,25.4,20.1,72.59,23.23,35.5325
77.01,25.4,19.38,75.04,23.34,35.5425
76.33,25.2,28.54,58.55,23.45,35.54
75.66,25.2,33.73,39.91,23.52,35.47
74.97,25.2,37.41,30.23,23.59,35.4025
75.46,25.2,37.51,31.49,23.66,35.355000000000004
81.80,25.2,33.56,38.97,23.73,35.345
82.04,25.2,29.69,47.99,23.81,35.345
79.84,25.4,24.25,69.69,23.92,35.405
78.36,25.4,21.97,75.8,24.01,35.4625
77.82,25.6,19.99,79.84,24.11,35.51
77.45,25.6,19.48,83.3,24.22,35.5525
77.21,25.4,20.49,87.52,24.33,35.595
76.80,25.4,27.7,76.7,24.44,35.6125
76.13,25.4,32.12,58.46,24.52,35.54
75.45,25.4,34.56,50.63,24.59,35.455
77.63,25.4,34.41,49.61,24.66,35.41
81.98,25.4,31.46,54.21,24.74,35.395
82.15,25.4,27.55,61.85,24.83,35.395
79.29,25.6,23.8,72.23,24.94,35.4625
78.51,25.6,22.97,72.45,25.00,35.4975
77.95,26.0,23.04,73.62,25.11,35.5375
77.58,26.0,22.26,79.55,25.22,35.62
77.33,25.6,23.07,78.12,25.34,35.62
76.84,25.6,26.69,69.05,25.45,35.62
75.97,25.6,32.48,53.3,25.55,35.5175
75.30,25.6,33.53,48.32,25.62,35.4475
81.03,25.6,32.03,53.63,25.69,35.4175
81.71,25.6,27.71,63.98,25.81,35.42
79.77,26.0,24.22,74.51,25.92,35.54
78.42,26.0,22.33,79.09,26.00,35.5425
77.83,26.0,22.05,85.86,26.12,35.6025
77.45,26.0,20.62,87.35,26.25,35.635
77.11,26.0,24.57,89.09,26.39,35.6725
76.29,25.6,31.05,60.1,26.50,35.6125
75.48,25.6,34.52,46.74,26.59,35.505
76.99,25.6,33.05,46.93,26.67,35.4475
81.81,25.6,29.71,57.36,26.76,35.4425
